isced11,isco08,mgstatus,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,Percentage
Upper secondary and post-secondary non-tertiary education,Armed forces occupations,Native Born,Y20-64,M,THS_PER,Slovenia,2022,5.1,unknown,0.89
Upper secondary and post-secondary non-tertiary education,Armed forces occupations,Native Born,Y20-64,M,THS_PER,Slovakia,2022,9.2,unknown,1.61
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Austria,2022,5.9,u,6.56
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Belgium,2022,3.5,u,3.89
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,6.6,unknown,7.33
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Czechia,2022,1.5,u,1.67
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,24.7,u,27.44
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,9.5,d,10.56
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,16.5,d,18.33
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Ireland,2022,6.7,u,7.44
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,9.2,unknown,10.22
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Malta,2022,0.7,u,0.78
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,3.7,unknown,4.11
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,F,THS_PER,Serbia,2022,1.5,u,1.67
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Austria,2022,5.4,u,2.44
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Belgium,2022,12.5,unknown,5.65
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,14.0,unknown,6.32
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Cyprus,2022,0.7,u,0.32
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Czechia,2022,3.7,unknown,1.67
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Germany,2022,53.3,unknown,24.07
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Greece,2022,2.9,u,1.31
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Spain,2022,17.3,d,7.81
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,42.0,d,18.97
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Croatia,2022,4.5,u,2.03
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Ireland,2022,9.7,unknown,4.38
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Iceland,2022,0.9,unknown,0.41
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,19.9,unknown,8.99
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Luxembourg,2022,0.9,u,0.41
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Malta,2022,2.1,unknown,0.95
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,8.7,unknown,3.93
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Norway,2022,5.7,u,2.57
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Portugal,2022,6.7,u,3.03
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Serbia,2022,3.8,unknown,1.72
Upper secondary and post-secondary non-tertiary education,Managers,First Generation Immigrant,Y20-64,M,THS_PER,Sweden,2022,6.7,unknown,3.03
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Austria,2022,17.9,unknown,1.94
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Belgium,2022,20.0,unknown,2.17
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Bulgaria,2022,15.6,unknown,1.69
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Switzerland,2022,25.0,unknown,2.71
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Czechia,2022,21.7,unknown,2.35
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Germany,2022,172.6,unknown,18.72
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Denmark,2022,4.8,unknown,0.52
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Estonia,2022,3.4,unknown,0.37
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Greece,2022,12.4,unknown,1.34
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Spain,2022,38.4,d,4.16
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Finland,2022,2.2,u,0.24
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,France,2022,153.7,d,16.67
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Croatia,2022,4.0,u,0.43
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Hungary,2022,14.4,unknown,1.56
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Ireland,2022,13.9,unknown,1.51
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Iceland,2022,1.4,unknown,0.15
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Italy,2022,95.9,unknown,10.4
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Lithuania,2022,5.3,unknown,0.57
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Latvia,2022,6.0,unknown,0.65
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Malta,2022,1.8,unknown,0.2
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Netherlands,2022,27.6,unknown,2.99
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Norway,2022,14.6,unknown,1.58
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Poland,2022,157.3,unknown,17.06
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Portugal,2022,19.8,unknown,2.15
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Romania,2022,16.5,unknown,1.79
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Serbia,2022,6.9,unknown,0.75
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Sweden,2022,30.7,unknown,3.33
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Slovenia,2022,1.7,u,0.18
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,F,THS_PER,Slovakia,2022,16.5,unknown,1.79
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Austria,2022,43.2,unknown,2.09
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Belgium,2022,45.7,unknown,2.21
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Bulgaria,2022,31.0,unknown,1.5
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Switzerland,2022,47.1,unknown,2.28
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Cyprus,2022,2.0,unknown,0.1
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Czechia,2022,80.3,unknown,3.89
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Germany,2022,374.9,unknown,18.15
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Denmark,2022,19.1,unknown,0.92
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Estonia,2022,8.1,unknown,0.39
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Greece,2022,30.1,unknown,1.46
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Spain,2022,89.4,d,4.33
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Finland,2022,7.9,unknown,0.38
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,France,2022,288.7,d,13.97
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Croatia,2022,23.0,unknown,1.11
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Hungary,2022,42.5,unknown,2.06
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Ireland,2022,29.5,unknown,1.43
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Iceland,2022,5.5,unknown,0.27
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Italy,2022,270.8,unknown,13.11
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Lithuania,2022,18.0,unknown,0.87
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Luxembourg,2022,0.6,u,0.03
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Latvia,2022,17.1,unknown,0.83
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Malta,2022,4.1,unknown,0.2
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Netherlands,2022,90.4,unknown,4.38
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Norway,2022,41.8,unknown,2.02
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Poland,2022,228.9,unknown,11.08
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Portugal,2022,35.8,unknown,1.73
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Romania,2022,56.0,unknown,2.71
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Serbia,2022,26.4,unknown,1.28
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Sweden,2022,70.4,unknown,3.41
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Slovenia,2022,6.5,unknown,0.31
Upper secondary and post-secondary non-tertiary education,Managers,Native Born,Y20-64,M,THS_PER,Slovakia,2022,31.2,unknown,1.51
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Austria,2022,20.4,unknown,8.65
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Belgium,2022,4.7,u,1.99
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,15.6,unknown,6.62
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Cyprus,2022,0.6,u,0.25
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Czechia,2022,1.3,u,0.55
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,97.6,unknown,41.39
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Denmark,2022,2.5,u,1.06
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Greece,2022,2.8,u,1.19
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,9.0,d,3.82
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Finland,2022,7.5,unknown,3.18
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,16.7,d,7.08
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,17.1,unknown,7.25
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Lithuania,2022,1.3,u,0.55
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Malta,2022,1.1,u,0.47
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,19.5,unknown,8.27
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Norway,2022,5.5,u,2.33
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Serbia,2022,1.3,u,0.55
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Sweden,2022,11.3,unknown,4.79
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Austria,2022,12.1,unknown,4.42
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Belgium,2022,7.3,unknown,2.67
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,16.7,unknown,6.1
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Cyprus,2022,0.7,u,0.26
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Czechia,2022,3.2,unknown,1.17
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Germany,2022,106.3,unknown,38.82
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Denmark,2022,4.0,u,1.46
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Greece,2022,2.6,u,0.95
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Spain,2022,5.3,d,1.94
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Finland,2022,13.3,unknown,4.86
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,23.0,d,8.4
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Ireland,2022,7.7,u,2.81
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,13.4,unknown,4.89
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Luxembourg,2022,1.6,unknown,0.58
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Malta,2022,0.9,u,0.33
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,30.3,unknown,11.07
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Portugal,2022,4.4,u,1.61
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Serbia,2022,1.8,u,0.66
Upper secondary and post-secondary non-tertiary education,Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Sweden,2022,19.2,unknown,7.01
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Austria,2022,100.6,unknown,3.78
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Belgium,2022,33.1,unknown,1.25
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Bulgaria,2022,15.2,unknown,0.57
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Switzerland,2022,78.1,unknown,2.94
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Czechia,2022,85.0,unknown,3.2
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Germany,2022,805.9,unknown,30.32
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Denmark,2022,29.1,unknown,1.09
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Estonia,2022,8.0,unknown,0.3
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Greece,2022,41.3,unknown,1.55
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Spain,2022,25.9,d,0.97
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Finland,2022,34.5,unknown,1.3
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,France,2022,195.1,d,7.34
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Croatia,2022,5.3,u,0.2
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Hungary,2022,20.6,unknown,0.78
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Ireland,2022,13.5,unknown,0.51
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Iceland,2022,3.4,unknown,0.13
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Italy,2022,370.5,unknown,13.94
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Lithuania,2022,19.9,unknown,0.75
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Luxembourg,2022,1.1,unknown,0.04
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Latvia,2022,10.0,unknown,0.38
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Malta,2022,2.2,unknown,0.08
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Netherlands,2022,172.3,unknown,6.48
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Norway,2022,35.2,unknown,1.32
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Poland,2022,206.4,unknown,7.77
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Portugal,2022,20.5,unknown,0.77
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Romania,2022,173.0,unknown,6.51
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Serbia,2022,18.1,unknown,0.68
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Sweden,2022,77.4,unknown,2.91
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Slovenia,2022,10.3,unknown,0.39
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,F,THS_PER,Slovakia,2022,46.4,unknown,1.75
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Austria,2022,67.9,unknown,2.64
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Belgium,2022,53.4,unknown,2.07
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Bulgaria,2022,14.0,unknown,0.54
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Switzerland,2022,66.8,unknown,2.59
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Cyprus,2022,0.6,u,0.02
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Czechia,2022,48.0,unknown,1.86
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Germany,2022,758.5,unknown,29.46
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Denmark,2022,38.0,unknown,1.48
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Estonia,2022,12.9,unknown,0.5
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Greece,2022,33.5,unknown,1.3
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Spain,2022,30.9,d,1.2
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Finland,2022,62.9,unknown,2.44
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,France,2022,319.7,d,12.42
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Croatia,2022,6.1,u,0.24
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Hungary,2022,37.1,unknown,1.44
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Ireland,2022,19.1,unknown,0.74
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Iceland,2022,2.3,unknown,0.09
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Italy,2022,261.5,unknown,10.16
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Lithuania,2022,12.7,unknown,0.49
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Luxembourg,2022,2.1,unknown,0.08
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Latvia,2022,12.0,unknown,0.47
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Malta,2022,2.8,unknown,0.11
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Netherlands,2022,271.6,unknown,10.55
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Norway,2022,36.1,unknown,1.4
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Poland,2022,125.2,unknown,4.86
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Portugal,2022,50.4,unknown,1.96
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Romania,2022,46.7,unknown,1.81
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Serbia,2022,20.9,unknown,0.81
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Sweden,2022,118.8,unknown,4.61
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Slovenia,2022,12.5,unknown,0.49
Upper secondary and post-secondary non-tertiary education,Professionals,Native Born,Y20-64,M,THS_PER,Slovakia,2022,29.8,unknown,1.16
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Austria,2022,24.2,unknown,3.49
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Belgium,2022,9.0,unknown,1.3
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,37.3,unknown,5.38
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Cyprus,2022,1.4,u,0.2
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Czechia,2022,4.8,unknown,0.69
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,369.4,unknown,53.28
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Denmark,2022,5.9,unknown,0.85
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,30.9,d,4.46
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Finland,2022,4.4,unknown,0.63
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,66.2,d,9.55
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Croatia,2022,6.5,u,0.94
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Hungary,2022,5.6,unknown,0.81
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Ireland,2022,7.2,u,1.04
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Iceland,2022,0.7,unknown,0.1
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,35.4,unknown,5.11
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Luxembourg,2022,5.0,unknown,0.72
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Malta,2022,2.7,unknown,0.39
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,40.1,unknown,5.78
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Portugal,2022,9.5,unknown,1.37
Upper secondary and post-secondary non-tertiary education,Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Serbia,2022,11.8,unknown,1.7
